Rank,Model,Epoch,Dataset,Excluded_From_Ranking,Is_Single_Class,Brier_Score,F1,Accuracy,Precision,Recall,Threshold,TP,TN,FP,FN,Total_Samples
10,Wav2Vec2_GaussianAndBandPass,5,S&E,No,No,0.2218,0.5667,0.5357,0.4146,0.8947,0.29292738,17,13,24,2,56
10,Wav2Vec2_GaussianAndBandPass,5,UrbanSound,No,Yes,0.0949,N/A,0.9999,N/A,N/A,0.75408530,0,8323,1,0,8324
10,Wav2Vec2_GaussianAndBandPass,5,Wonjun_Yi,No,Yes,0.4720,N/A,0.9999,N/A,N/A,0.24597615,78960,0,0,6,78966
11,Wav2Vec2_GaussianNoise,1,CalibrationDataset,Yes,No,0.2227,0.8961,0.9283,1.0000,0.8117,0.30751356,500,1002,0,116,1618
11,Wav2Vec2_GaussianNoise,1,DronePrint,No,Yes,0.5317,N/A,1.0000,N/A,N/A,0.24761128,12,0,0,0,12
11,Wav2Vec2_GaussianNoise,1,Emo,No,Yes,0.0583,N/A,0.9973,N/A,N/A,0.28876644,0,369,1,0,370
11,Wav2Vec2_GaussianNoise,1,ESC-50,No,Yes,0.0543,N/A,0.9994,N/A,N/A,0.30406919,0,1673,1,0,1674
11,Wav2Vec2_GaussianNoise,1,Fusion,Yes,No,0.4318,0.9788,0.9631,0.9965,0.9617,0.30169960,78939,10134,277,3140,92490
11,Wav2Vec2_GaussianNoise,1,H-2,No,Yes,0.5971,N/A,0.9980,N/A,N/A,0.17700614,3055,0,0,6,3061
11,Wav2Vec2_GaussianNoise,1,Authors,No,No,0.4699,0.8936,0.8148,0.8077,1.0000,0.20335680,21,1,5,0,27
11,Wav2Vec2_GaussianNoise,1,S&E,No,No,0.2303,0.6333,0.6071,0.4634,1.0000,0.21493737,19,15,22,0,56
11,Wav2Vec2_GaussianNoise,1,UrbanSound,No,Yes,0.0649,N/A,0.9998,N/A,N/A,0.32692224,0,8322,2,0,8324
11,Wav2Vec2_GaussianNoise,1,Wonjun_Yi,No,Yes,0.4739,N/A,0.9999,N/A,N/A,0.29657903,78961,0,0,5,78966
12,Wav2Vec2_BandPassSurefire,1,CalibrationDataset,Yes,No,0.2271,0.8245,0.8585,0.7808,0.8734,0.28076750,538,851,151,78,1618
12,Wav2Vec2_BandPassSurefire,1,DronePrint,No,Yes,0.4603,N/A,0.9167,N/A,N/A,0.29424325,11,0,0,1,12
12,Wav2Vec2_BandPassSurefire,1,Emo,No,Yes,0.0624,N/A,0.9811,N/A,N/A,0.31922513,0,363,7,0,370
12,Wav2Vec2_BandPassSurefire,1,ESC-50,No,Yes,0.0496,N/A,0.9994,N/A,N/A,0.39989147,0,1673,1,0,1674
12,Wav2Vec2_BandPassSurefire,1,Fusion,Yes,No,0.4702,0.9672,0.9407,0.9495,0.9856,0.23980679,80895,6109,4302,1184,92490
12,Wav2Vec2_BandPassSurefire,1,H-2,No,Yes,0.5569,N/A,1.0000,N/A,N/A,0.17709085,3061,0,0,0,3061
12,Wav2Vec2_BandPassSurefire,1,Authors,No,No,0.4273,0.8182,0.7037,0.7826,0.8571,0.24442865,18,1,5,3,27
12,Wav2Vec2_BandPassSurefire,1,S&E,No,No,0.2217,0.6230,0.5893,0.4524,1.0000,0.24613443,19,14,23,0,56
12,Wav2Vec2_BandPassSurefire,1,UrbanSound,No,Yes,0.0583,N/A,0.9999,N/A,N/A,0.39223984,0,8323,1,0,8324
12,Wav2Vec2_BandPassSurefire,1,Wonjun_Yi,No,Yes,0.5213,N/A,0.9999,N/A,N/A,0.22152682,78962,0,0,4,78966
13,Wav2Vec2_Vanilla,5,CalibrationDataset,Yes,No,0.1384,0.8562,0.8937,0.8828,0.8312,0.35469980,512,934,68,104,1618
13,Wav2Vec2_Vanilla,5,DronePrint,No,Yes,0.2340,N/A,0.9167,N/A,N/A,0.26588514,11,0,0,1,12
13,Wav2Vec2_Vanilla,5,Emo,No,Yes,0.0279,N/A,0.9973,N/A,N/A,0.73350820,0,369,1,0,370
13,Wav2Vec2_Vanilla,5,ESC-50,No,Yes,0.0119,N/A,0.9952,N/A,N/A,0.79943890,0,1666,8,0,1674
13,Wav2Vec2_Vanilla,5,Fusion,Yes,No,0.4768,0.9661,0.9390,0.9537,0.9788,0.02820095,80340,6512,3899,1739,92490
